Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
95,2021-12-31,Scandraft Aktiebolag,PGM Skummad PVC VIT 2050x3050x5mm,Skummad PVC,M 2,5.7,5.7,589.6,1,A---,2024-01-03T08:58:45.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
96,2021-12-31,Scandraft Aktiebolag,PGM Skummad PVC SVART 2050x3050x5mm,Skummad PVC,M 2,7.8,6.8,1235.2,1,A---,2024-01-03T08:59:18.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
97,2021-12-31,Scandraft Aktiebolag,Oramask 813,Maskning,M,7,0,391.44,1,A---,2024-01-03T09:00:47.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
98,2021-12-31,Liljeholmens Stearinfabriks AB,Kort kronljus (4p),Ljus,Pkt,8,0,297.44,1,A---,2024-01-03T09:03:37.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
99,2021-12-31,Okand,Julkulor,Diverse,Pkt,5,5,199.6,1,A---,2024-01-03T09:05:07.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
100,2023-10-31,Design Bade AB,Poppel 52mm,Massivtra,M 3,0.1,0,840,1,A316,2024-01-03T09:12:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
101,2023-10-31,Star Trading I Svenljunga Aktiebolag,Reservlampa 2-pack,El,Pkt,20,0,427.7,1,A317,2024-01-03T09:15:18.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
102,2023-10-31,Star Trading I Svenljunga Aktiebolag,"Reservlampa 7-pack ",El,Pkt,200,0,3309.3,1,A317,2024-01-03T09:16:20.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
103,2023-11-10,Happy Homes,LADY SUPREME FINISH 40 S0300-N,El,Liter,2.7,0,956,1,A321,2024-01-03T09:18:50.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
104,2023-11-10,Happy Homes,Lackfärgsgrund Beckers S0500-N,Farg,Liter,2.7,0,497.28,1,A321,2024-01-03T09:20:03.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
105,2023-11-13,BOLIST Handelsgruppen Malung,"TRÄSKRUV TFT EFZ 4,5X40MM",Skruv,Pkt 200,1,0,85.68,1,A341,2024-01-03T09:21:32.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
106,2023-11-13,BOLIST Handelsgruppen Malung," TRÄSKRUV TKT EFZ 3X12MM",Skruv,Pkt,2,0,142.42,1,A341,2024-01-03T09:22:05.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
107,2023-11-13,BOLIST Handelsgruppen Malung,TRÄSKRUV TFT EFZ 3X16,Skruv,Pkt 250,2,0,142.42,1,A341,2024-01-03T09:22:42.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
